Species,Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Color,Category.Two.Defects,altitude_mean_meters,categoria_altitud
Arabica,nucoffee,Brazil,south of minas,7,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Semi-Washed / Semi-Pulped,8.33,8.0,8.0,8.0,7.75,8.0,8.0,86.08,0.11,0,Blue-Green,2,1250.0,Media (Arabica)
Arabica,great lakes coffee uganda,Uganda,eastern uganda,1,60 kg,Uganda Coffee Development Authority,"October 1st, 2014",SL14,Semi-Washed / Semi-Pulped,8.08,8.08,7.83,7.92,8.08,7.92,8.08,86.0,0.0,0,Green,0,1675.0,Alta (Arabica)
Arabica,lusso lab,Colombia,tolima,1,2 kg,Specialty Coffee Association,"March 20th, 2014",Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,8.17,86.0,0.12,1,Green,1,1200.0,Media (Arabica)
Arabica,lusso lab,Kenya,kiambu,1,1 kg,Specialty Coffee Association,"February 6th, 2014",SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,8.17,86.0,0.11,0,Green,1,1860.0,Premium (Arabica)
Arabica,afca,Uganda,"sipi, mt elgon",1,60 kg,Africa Fine Coffee Association,"February 13th, 2012",Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,7.92,86.0,0.1,0,Blue-Green,0,1650.0,Alta (Arabica)
Arabica,ethiopia commodity exchange,Ethiopia,sidamo,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.75,8.08,8.0,8.25,8.0,8.0,7.92,86.0,0.01,0,Green,4,1750.0,Alta (Arabica)
Arabica,grounds for health admin,United States (Hawaii),kona,1,2,Specialty Coffee Association,"May 31st, 2010",Hawaiian Kona,Natural / Dry,8.33,8.17,7.75,8.0,7.75,7.83,8.17,86.0,0.0,0,Blue-Green,0,130.06425600000003,Baja (Arabica)
Arabica,juan luis alvarado romero,Guatemala,nuevo oriente,80,69 kg,Asociacion Nacional Del Café,"May 16th, 2016",Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,8.0,85.92,0.1,0,Green,3,448.25716800000004,Baja (Arabica)
Arabica,kawacom uganda ltd,Uganda,eastern,1,60 kg,Uganda Coffee Development Authority,"June 30th, 2014",SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,8.0,85.92,0.12,0,Green,0,1650.0,Alta (Arabica)
Arabica,exportadora de cafe condor s.a,Colombia,huila,275,70 kg,Almacafé,"July 26th, 2013",Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,7.92,85.92,0.0,1,Blue-Green,0,1800.0,Premium (Arabica)
Arabica,gonzalo hernandez,Panama,boquete,37,60 kg,Specialty Coffee Association of Costa Rica,"October 9th, 2017",Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,8.0,85.83,0.08,0,Blue-Green,0,1600.0,Alta (Arabica)
Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,oromia,320,60 kg,METAD Agricultural Development plc,"April 4th, 2015",Other,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,8.0,85.83,0.1,0,Green,4,1900.0,Premium (Arabica)
Arabica,juan luis alvarado romero,Guatemala,acatenango,150,1 kg,Asociacion Nacional Del Café,"July 3rd, 2012",Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,8.0,85.83,0.12,0,Green,3,464.51520000000005,Baja (Arabica)
Arabica,juan luis alvarado romero,Guatemala,nuevo oriente,275,1 kg,Asociacion Nacional Del Café,"June 5th, 2012",Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,8.0,85.83,0.1,0,Blue-Green,1,431.999136,Baja (Arabica)
Arabica,seid damtew coffee planataion,Ethiopia,addis ababa,320,19200 kg,METAD Agricultural Development plc,"June 23rd, 2017",Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,8.0,85.75,0.09,0,Green,7,1800.0,Premium (Arabica)
Arabica,dane loraas,Peru,cajamarca,280,5 lbs,Specialty Coffee Association,"January 22nd, 2014",Caturra,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,8.0,85.75,0.1,4,Green,6,1300.0,Media (Arabica)
Arabica,"colbran coffeelands, ltd.",Papua New Guinea,eastern highlands province,7,60 kg,Specialty Coffee Association,"October 25th, 2012",Other,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,7.92,85.75,0.12,0,Blue-Green,1,1700.0,Alta (Arabica)
Arabica,atlantic specialty coffee,El Salvador,apaneca,275,2 kg,Specialty Coffee Association,"March 18th, 2013",Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,8.0,85.58,0.1,0,Blue-Green,3,1500.0,Alta (Arabica)
Arabica,lusso lab,El Salvador,"ataco, apaneca - ilamatepec mountain range",19,1 kg,Specialty Coffee Association,"January 12th, 2013",Bourbon,Semi-Washed / Semi-Pulped,7.83,8.0,8.0,7.75,7.92,8.17,7.92,85.58,0.11,0,Green,0,1350.0,Media (Arabica)
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,8,100 lbs,Specialty Coffee Association,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,8.0,85.58,0.0,0,Blue-Green,1,157.93516800000003,Baja (Arabica)
Arabica,essencecoffee,Panama,boquete,100,60 kg,Blossom Valley International,"May 23rd, 2015",Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,7.83,85.5,0.09,2,Green,2,1680.0,Alta (Arabica)
Arabica,essencecoffee,Kenya,kirinyaga,16,60 kg,Blossom Valley International,"May 23rd, 2015",SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,8.0,85.5,0.1,0,Green,3,1900.0,Premium (Arabica)
Arabica,assefa belay coffee producer,Ethiopia,oromia,320,60 kg,METAD Agricultural Development plc,"March 31st, 2015",Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,8.0,85.5,0.12,0,Green,7,1900.0,Premium (Arabica)
Arabica,kyagalanyi ltd,Uganda,bulambuli eastern region,320,60 kg,Uganda Coffee Development Authority,"June 26th, 2014",SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,8.08,85.5,0.12,0,Green,1,1600.0,Alta (Arabica)
Arabica,juan luis alvarado romero,Guatemala,huehuetenango,250,69 kg,Asociacion Nacional Del Café,"February 26th, 2013",Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,7.83,85.5,0.11,0,Green,1,527.6892672,Baja (Arabica)
Arabica,assefa belay coffee producer,Ethiopia,oromia,320,60 kg,METAD Agricultural Development plc,"March 31st, 2015",Other,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,8.08,85.42,0.1,0,Green,18,1900.0,Premium (Arabica)
Arabica,great lakes coffee uganda,Uganda,kapchorwa,150,60 kg,Uganda Coffee Development Authority,"June 26th, 2014",SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,8.0,85.42,0.12,0,Green,5,1950.0,Premium (Arabica)
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,8,100 lbs,Specialty Coffee Association,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,8.25,85.42,0.0,4,Blue-Green,6,157.93516800000003,Baja (Arabica)
Arabica,nucoffee,Brazil,south of minas,5,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Semi-Washed / Semi-Pulped,8.0,8.0,8.0,7.67,7.75,8.0,8.0,85.42,0.11,0,Blue-Green,1,1250.0,Media (Arabica)
Arabica,grounds for health admin,El Salvador,apaneca,2,"1 kg,lbs",Specialty Coffee Association,"May 31st, 2010",Bourbon,Washed / Wet,8.08,7.83,7.83,8.08,7.83,7.83,7.92,85.42,0.01,0,Green,0,1400.0,Media (Arabica)
Arabica,yunnan coffee exchange,China,yunnan,3,60 kg,Yunnan Coffee Exchange,"April 6th, 2016",Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,7.92,85.33,0.1,0,Green,0,1700.0,Alta (Arabica)
Arabica,essencecoffee,Guatemala,huehuetenango,36,30 kg,Blossom Valley International,"May 23rd, 2015",Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,7.83,85.33,0.11,0,Green,1,1770.0,Alta (Arabica)
Arabica,the coffee source inc.,Costa Rica,west valley,250,3 lbs,Specialty Coffee Association,"May 1st, 2014",Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,8.0,85.33,0.0,0,Blue-Green,0,1300.0,Media (Arabica)
Arabica,the coffee source inc.,Costa Rica,san ramon,250,3 lbs,Specialty Coffee Association,"May 1st, 2014",Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,7.92,85.33,0.1,0,Blue-Green,2,1300.0,Media (Arabica)
